"影城名称","银幕宽度（米)","银幕高度（米)","银幕面积（平方米)","座位数（个)"
"汕头CGV影城（群光广场店)","21.210 ","11.170 ","236.9157","243"
"汕头万达影院（金平万达广场店)","21.180 ","10.990 ","232.7682","396"
"梅州万达影城（万达广场店）","20.400 ","   ","  ","325"
"清远万达影城（清城万达广场店）","19.120 ","10.522 ","201.1810","419"
"清远DY影城（顺盈时代广场IMAX店）","22.900
21.987","11.950
11.486","273.6550
252.5430","412
444"
"茂名万达影城（电白万达广场店)","21.070
20.328","11.150
10.698","234.9305
217.4689","361"
"茂名东汇国际影城","21.874 ","11.319 ","247.5918","343"
"高州潘州影城IMAX","","","","336"
"肇庆星轶IMAX影城（敏捷广场旗舰店)","22.240 ","11.570 ","257.3168","361"
"肇庆万达影城（鼎湖万达广场店)","19.050 ","10.280 ","195.8340","251"
"韶关DP影城","23.710 ","12.320 ","292.1072","410"
"揭阳万达影城（榕城万达广场店）","19.840 ","10.630 ","210.8992","282"
"重庆万达影城（大渡口店）","18.316 ","9.461 ","173.2876","243"
"重庆万达影城（巴南区万达广场店）","23.570 ","12.500 ","294.6250","374"
"重庆万达影城（大融城店）","15.460
14.767","7.810
7.275","120.7426
107.4299","217"
"重庆万达影城（永川万达广场店）","21.190 ","11.260 ","238.5994","396"
"重庆万达影城（大坪店）","18.176 ","9.756 ","177.3251","288"
"重庆CGV影城（源著店）","22.290 ","11.850 ","264.1365","275"
"重庆万达影城（北碚万达广场店）","20.760 ","10.800 ","224.2080","355"
"重庆CGV影城（U城店）","24.570
22.681","13.000
12.120","319.4100
274.8937","334"
"重庆万达影城（綦江万达广场店）","   ","   ","    ","396"
"重庆万达影城（金科大竹林店）","19.543 ","10.722 ","209.5400","297"
"重庆万达影城（华茂国际中心店）","22.750 ","11.830 ","269.1325","340"
"重庆金逸影城（兰亭IMAX店）","22.180 ","11.700 ","259.5060","342"
"重庆万达影城（涪陵万达广场店) ","","","","315"
"重庆CGV影城（来福士店)","20.330
19.184
18.992","10.730
9.314
9.995","218.1409
178.6797
189.8250","283"
"重庆中视国际影城IMAX（红旗河沟店）","  ","   ","   ","326"
"重庆保利万和影城（石桥广场店）
原重庆越界影城（石桥铺店) ","23.850 ","12.440 ","296.6940","528"
"重庆金逸影城（大悦城IMAX店) ","23.130 ","11.780 ","272.4714","408"
"重庆亚格影城IMAX（汽博店)","21.770 ","11.470 ","249.7019","410"
"重庆八一影城（解放碑店）","23.760 ","12.880 ","306.0288","356"
"重庆万达影城（南坪万达广场店）","21.300
21.120
19.010","9.050
8.990
9.720","192.7650
189.8688
184.7772","304"
"重庆UME影城（九龙坡店）","","","",""
"北京中國科技館（设备还在，是否放映需要实地咨询）","30.000 ","","","442"
"北京万达影城（天通苑龙德广场店）","16.186 ","8.145 ","131.8349","267"
"北京中国民航博物馆（建成后并未开业）","21.330 ","16.060 ","342.5598","300"
"北京万达影城（通州万达广场店）","22.360 
20.900
20.939","11.700
11.700
11.024","261.6120 
244.5300
230.8315","424"
"北京博纳国际影城（悠唐IMAX店）","15.860 ","8.220 ","130.3692","232"
"北京SFC上影影城（大兴龙湖店）","21.750 ","12.210 ","265.5675","392"
"北京恒业国际影城（六里桥店）","16.370 ","8.600 ","140.7820","262"
"北京万达影城（槐房万达广场店）","20.430 ","10.830 ","221.2569","395"
"北京金泉港国际影城 ","23.660 ","12.550 ","296.9330","428"
